category,city,full,title,text,county,press,link,date
no-cat,Craiova,,"Andrei Lazăr, fiul judecătoarei Liliana Lazăr, a scăpat de dosarul în care a fost condamnat la închisoare pentru tentativă de omor. Victima şi-a retras plângerea","Andrei Lazăr a fost condamnat anul trecut de Tribunalul Teleorman la 5 ani de închisoare cu executare pentru tentativă de omor. Fiul judecătoarei Liliana Lazăr a fost la un pas să-l accidenteze pe Mario Aranghelovici, care mergea pe trotuar împreună cu soţia sa.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/andrei-lazar-fiul-judecatoarei-liliana-lazar-scapat-dosarul-fost-condamnat-inchisoare-tentativa-omor-victima-si-a-retras-plangerea-1_57111d4f5ab6550cb804c46a/index.html,2016-04-15 00:00:00
no-cat,Craiova,,"Imagini revoltătoare într-un magazin din Craiova: o vânzătoare aruncă pe jos carnea congelată, apoi o pune la loc în vitrină","O vânzătoare din Complexul Big Nou din cartierul Craioviţa Nouă, Craiova, a fost filmată la un stand unde sunt vândute produse din carne. Femeia a fost suprinsă aruncân pe jos carnea, care părea congelată, apoi punând-o la loc la vânzare, în vitrine.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/imagini-revoltatoare-intr-un-magazin-craiova-vanzatoare-arunca-jos-carnea-congelata-apoi-pune-loc-vitrina-1_570f637d5ab6550cb8f92236/index.html,2016-04-14 00:00:00
no-cat,Craiova,,"Angajatul care şi-a ucis patronul care îl concediase, condamnat la 20 de ani de închisoare. Sentinţa este definitivă",Un patron din judeţul Dolj a fost înjunghiat anul trecut în faţa sediului de Poliţie Amărăştii de Jos. Victima făcuse reclamaţie cu privire la faptul că un fost angajat îl ameninţa cu moartea.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/angajatul-si-a-ucis-patronul-concediase-condamnat-20-ani-inchisoare-sentinta-definitiva-1_57107b865ab6550cb8005822/index.html,2016-04-15 00:00:00
no-cat,Craiova,,FOTO Zeci de oi otrăvite pe câmp într-un sat din Dolj. Ciobanii: „Este vorba de o răzbunare. Au fost omorâte cu Furadan“,Zeci de oi moarte au fost găsite pe un teren agricol în satul Golenţi din apropierea oraşului Calafat. Ciobanii cred că animalele au fost omorâte intenţionat cu Furadan.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/foto-zeci-oi-otravite-camp-intr-un-sat-dolj-ciobanii-este-vorba-razbunare-fost-omorate-furadan-1_5714793b5ab6550cb81a0048/index.html,2016-04-18 00:00:00
no-cat,Craiova,,"Judecătorul care l-a eliberat pe «ucigaşul cu Ferrari», condamnat la 7 ani şi 6 luni de închisoare pentru luare de mită. Sentinţa este definitivă",Judecătorul Bogdan Diaconescu a fost condamnat definitiv la 7 ani şi 6 luni de închisoare cu executare pentru luare de mită. Fostul magistrat din cadrul Tribunalului Dolj a pretins de la doi inculpaţi bani pentru a le înlocui sau revoca măsura preventivă a obligării de a nu părăsi localitatea de domiciliu.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/judecatorul-l-a-eliberat-ucigasul-ferrari-condamnat-7-ani-6-luni-inchisoare-luare-mita-sentinta-definitiva-1_5714f2725ab6550cb81dfac5/index.html,2016-04-18 00:00:00
no-cat,Craiova,,"Afacerişti, reţinuţi pentru spălare de bani şi evaziune fiscală","Doi oameni de afaceri din Craiova au fost reţinuţi pentru evaziune fiscală, spălare de bani şi folosirea creditului societăţii într-un scop contrar intereselor acesteia.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/afaceristi-retinuti-spalare-bani-evaziune-fiscala-1_5715d3a55ab6550cb8227580/index.html,2016-04-19 00:00:00
no-cat,Craiova,,Maria Schutz a fost condamnată la 10 ani de închisoare pentru o fraudă de 13 milioane de euro. „Regina Serelor“ a contestat decizia instanţei,"Maria Schutz, fostul manager al serelor Oradea şi Codlea, a fost condamnată definitiv la 10 ani de închisoare cu executare pentru o fraudă de 13 milioane de euro. „Regina Serelor“ a contestat decizia instanţei, însă magistraţii i-au respins cererea ca nefondată.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/maria-schutz-fost-condamnata-10-ani-inchisoare-frauda-13-milioane-euro-regina-serelor-contestat-decizia-instantei-1_57171ec85ab6550cb82ad4ef/index.html,2016-04-20 00:00:00
no-cat,Craiova,,Impact mortal în judeţul Dolj. Trei persoane au murit şi un copil de trei ani a fost rănit într-un grav accident rutier,"Trei persoane au murit în această dimineaţă, iar un copil de trei a ajuns la spital în urma unui grav accident de circulaţie. Tragicul evenimenta  avut loc pe D.N 56, la intrarea în localitatea Branişte.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/impact-mortal-judetul-dolj-trei-persoane-murit-copil-trei-fost-ranit-intr-un-grav-accident-rutier-1_571737d75ab6550cb82bc191/index.html,2016-04-20 00:00:00
no-cat,Craiova,,FOTO Un bărbat din Dolj îşi acuză soţia că i-a răpit fetiţa de 5 ani şi vrea să o ducă la cerşit în Franţa: „Sunt disperat. De patru zile îmi caut copilul“,Un bărbat din comuna doljeană Piscu Vechi şi-a reclamat soţia la poliţie că i-a răpit fetiţa de 5 ani în urmă cu patru zile. Claudiu Berceanu a povestit că după ce a făcut investigaţii a aflat că mama copilului a plecat cu doi tineri de etnie romă.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/un-barbat-dolj-isi-acuza-sotia-i-a-rapit-fetita-5-ani-vrea-duca-cersit-franta-sunt-disperat-patru-zile-caut-copilul-1_5714e7985ab6550cb81dba46/index.html,2016-04-18 00:00:00
no-cat,Craiova,,"VIDEO Cel mai ghinionist dintre români: doljean obligat de două primării să plătească ani la rând impozit pentru o casă, din cauza unei aberaţii birocratice","Doru Roşu, un bărbat care locuieşte în comuna doljeană Cârcea, acolo unde deţine un teren şi o casă, având aici inclusiv mutaţie pe buletin, este obligat atât de Primăria Cârcea, cât şi de cea din Craiova să achite impozite pentru aceste proprietăţi.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/video-mai-ghinionist-romani-doljean-obligat-doua-primarii-plateasca-ani-rand-impozit-casa-cauza-aberatii-birocratice-1_57163e1a5ab6550cb825d23e/index.html,2016-04-19 00:00:00
