category,city,title,text,county,date,link,press
,,Arsenie Boca face minuni în turismul din Hunedoara: Castelul Corvinilor şi Deva profită din plin de invazia pelerinilor,"Castelul Corvinilor şi municipiul Deva profită din plin de pelerinajele masive de la Mănăstirea Prislop. Mii de turişti care ajung în judeţul Hunedoara pentru a se ruga la mormântul părintelui Arsenie Boca se abat în Hunedoara, pentru a vizita castelul, iar mulţi dintre ei se cazează la hotelurile din Deva.",Hunedoara,04-06-16,http://adevarul.ro/locale/hunedoara/arsenie-boca-minuni-turismul-hunedoara-castelul-corvinilor-deva-profita-plin-invazia-pelerinilor-1_5704fac25ab6550cb8addd80/index.html,Adevarul
,,"Ceremonie de repatriere a soldaţilor, la Cazarma Batalionului
Operaţii Speciale „Vulturii” din Târgu-Mureş","Zece militari din grupul românesc de Operaţii Speciale au fost marţi decoraţi, la repatrierea lor din Afganistan. Timp de şase luni, soldaţii au executat misiuni de asistenţă militară în
sprijinul forţelor de securitate afgane în mai multe locaţii ale teatrului de
operaţii.",Târgu-Mureş,03-22-16,http://adevarul.ro/locale/targu-mures/ceremonie-repatriere-soldatilor-cazarma-batalionuluioperatii-speciale-vulturii-targu-mures-1_56f105175ab6550cb81a3a24/index.html,Adevarul
,,"Sorin Frunzăverde, preşedinte CJ Caras-Severin, condamnat la doi ani de închisoare cu suspendare","Procurorii anticorupţie l-au înregistrat ambiental pe Sorin Frunzăverde 
şi pe vicepreşedintele Consiliului Judeţean Caraş-Severin, Ionesie 
Ghiorghioni, în timp ce dădeau indicaţii pentru a mobiliza primarii din 
judeţ să aducă mai multe voturi pentru al doilea scrutin al alegerilor 
prezidenţiale din noiembrie 2014,",Reşiţa,01-19-16,http://adevarul.ro/locale/resita/sorin-frunzaverde-presedinte-cj-caras-severin-condamnat-doi-ani-inchisoare-suspendare-1_569e6da037115986c6af8f67/index.html,Adevarul
,,"DNA a trimis în judecată, sub control judiciar, directori ai sucursalei Romgaz din Târgu-Mureş pentru abuz în serviciu","Directorul Sucursalei Târgu Mureş a Romgaz şi alte trei persoane din conducerea instituţiei au fost trimişi în judecată de DNA, sub control judiciar. Oamenii legii îi acuză de abuz în serviciu şi au pus sechestru pe bunurile mobile şi imobile ale acestora.",Târgu-Mureş,03-21-16,http://adevarul.ro/locale/targu-mures/dna-trimis-judecata-control-judiciar-directori-sucursalei-romgaz-targu-mures-abuz-serviciu-1_56f008a85ab6550cb813ad73/index.html,Adevarul
,,Rezultate finale Bacalaureat 2015 Caraş-Severin,"Rezultatele finale la Bacalaureat 2015 se afişează în cursul zilei de vineri, 10 iulie, la avizierele şcolilor, pe edu.ro şi pe adevarul.ro. Înainte de soluţionarea contestaţilor, în judeţul Caras-Severin au promovat examenul de Bacalaureat 2015 peste 65 la sută dintre elevi.",Reşiţa,07-10-15,http://adevarul.ro/locale/resita/rezultate-finale-bacalaureat-2015-caras-severin-1_559d0f64f5eaafab2c5d41e0/index.html,Adevarul
,,Dosarul “Ayatollahul Banatului Montan”: urmărit pentru instigare la şantaj şi folosirea influenţei,"Procurorii Direcţiei Naţionale Anticorupţie au început, la mijlocul lunii mai, urmărirea penală pe numele lui Sorin Frunzăverde, pentru instigare la şantaj şi folosirea influenţei sau autorităţii de către o persoană care deţine o funcţie de conducere într-un partid, în vederea obţinerii unui folos necuvenit.",Reşiţa,09-08-15,http://adevarul.ro/locale/resita/dosarul-ayatollahul-banatului-montan-urmarit-instigare-santaj-folosirea-influentei-1_55eeb388f5eaafab2c62284a/index.html,Adevarul
,,"Percheziţii în Caraş-Severin, într-un dosar de evaziune fiscală cu un prejudiciu de 3,6 milioane de lei","Poliţiştii din Caraş-Severin au ridicat 11.710 euro, aproximativ 73.000 
de lei şi documente contabile în urma unor percheziţii făcute într-un 
dosar de evaziune fiscală cu prejudiciu de 3,6 milioane de lei, 
reprezentantul unor firme fiind acuzat că nu a declarat integral 
salariile angajaţilor.",Reşiţa,12-16-15,http://adevarul.ro/locale/resita/perchezitii-caras-severin-intr-un-dosar-evaziune-fiscala-prejudiciu-36-milioane-lei-1_5671399d7d919ed50e4804d2/index.html,Adevarul
,,"Fostul primar al Reşiţei, Mihai Stepanescu, a fost trimis în judecată pentru luare de mită","Procurorii din cadrul Direcţiei Naţionale Anticorupţie – Serviciul Teritorial Timişoara au dispus trimiterea în judecată, în stare de arest preventiv, a primarului municipiului Reşiţa, la data faptelor, Mihai Stepanescu, pentru săvârşirea a două infracţiuni de luare de mită.",Reşiţa,12-14-15,http://adevarul.ro/locale/resita/fostul-primar-resitei-mihai-stepanescu-fost-trimis-judecata-luare-mita-1_566eda767d919ed50e385976/index.html,Adevarul
,,"Prefectul judeţului Caraş-Severin, audiat de procurorii DIICOT într-un dosar de evaziune fiscală, a demisionat","Prefectul ca Caraş-Severin, Miu Nicolae Ciobanu, audiat miercuri într-un dosar DIICOT de evaziune fiscală cu un prejudiciu de 25 de milioane de lei şi-a anunţat joi dimineaţa demisia. Ciobanu a transmis un comunicat de presă în care a arătat că părăseşte funcţia pentru ca „instituţia să îşi păstreze reputaţia de garant al respectării legii şi Constituţiei României”.",Reşiţa,01-28-16,http://adevarul.ro/locale/resita/prefectul-judetului-caras-severin-audiat-procurorii-diicot-intr-un-dosar-evaziune-fiscala-demisionat-1_56a9ebce5ab6550cb8333d5b/index.html,Adevarul
,,"Prefectul de Caraş-Severin, cercetat în libertate într-un megadosar de evaziune fiscală. Prejudiciul cauzat statului, estimat la 25 de milioane de lei","Procurorii DNA au descins în dimineaţa zilei de miercuri, 27 ianuarie, în 16 judeţe din România. Percheziţiile au legătură cu un dosar de evaziune fiscală, în care principalul vizat este prefectul de Caraş-Severin, Miu Nicolae Ciobanu. Iniţial, acesta, a fost dus la audieri, iar în prezent este cercetat în libertate.",Reşiţa,01-27-16,http://adevarul.ro/locale/resita/peste-75-perchezitii-efectuate-dna-intr-un-dosar-evaziune-fiscala-printre-cei-vizati-prefectul-caras-severin-1_56a8926c5ab6550cb828b161/index.html,Adevarul
